Timestamp,What is your participant ID?,How intuitive was it to do the following things using the provided library? [Create the static formula],How intuitive was it to do the following things using the provided library? [Refer to a variable using a variable selector in the variables object],How intuitive was it to do the following things using the provided library? [Giving a variable a descriptive label],How intuitive was it to do the following things using the provided library? [Formatting a variable's displayed value (significant figures / precision)],How intuitive was it to do the following things using the provided library? [Make a variable draggable],How intuitive was it to do the following things using the provided library? [Expressing the computation with a semantics function],How intuitive was it to do the following things using the provided library? [Accessing a variable's value in a semantics function],How intuitive was it to do the following things using the provided library? [Setting a variable's value in a semantics function],How intuitive was it to do the following things using the provided library? [Get the interactive formula working just the way I wanted],Briefly explain any of your ratings above that you think are worth noting (1–2 sentences).,How difficult was it to do the following things using the provided library? [Create the static formula],How difficult was it to do the following things using the provided library? [Refer to a variable using a variable selector in the variables object],How difficult was it to do the following things using the provided library? [Giving a variable a descriptive label],How difficult was it to do the following things using the provided library? [Formatting a variable's displayed value (significant figures / precision)],How difficult was it to do the following things using the provided library? [Make a variable draggable],How difficult was it to do the following things using the provided library? [Expressing the computation with a semantics function],How difficult was it to do the following things using the provided library? [Accessing a variable's value in a semantics function],How difficult was it to do the following things using the provided library? [Setting a variable's value in a semantics function],How difficult was it to do the following things using the provided library? [Get the interactive formula working just the way I wanted],Briefly explain any of your ratings above that you think are worth noting (1–2 sentences).
3/9/2026 16:02:26,14,Very intuitive,Somewhat intuitive,Very intuitive,Neither intuitive nor unintuitive,Neither intuitive nor unintuitive,Somewhat intuitive,Very intuitive,Very intuitive,Very intuitive,"Making it draggable might not be that intuitive. If let's say you have a very big range (eg 1e23) and a small step size, the ""drag"" might need to be a lot more to see the value change especially when we combine it with precision which shows only a few numbers ",Very easy,Very easy,Very easy,Neither easy nor difficult,Somewhat easy,Very easy,Very easy,Very easy,Neither easy nor difficult,"Again, similar point to last, also some confusion about which ""t"" will it point to if 2 of them exist in the formula, which is often the case"
3/9/2026 18:08:27,11,Very intuitive,Somewhat intuitive,Very intuitive,Somewhat intuitive,Somewhat intuitive,Somewhat intuitive,Neither intuitive nor unintuitive,Neither intuitive nor unintuitive,Somewhat intuitive,"It was relatively harder to set/access complex variables' value in the semantics function. In particular, it was not very intuitive in the sense that it was not immediately obvious where in the chronology of variable assignment should the output variable go. Also, it would be helpful to have a way to target a given occurrence if a variable occurs multiple times within a formula.",Very easy,Very easy,Very easy,Somewhat easy,Somewhat easy,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Somewhat easy,"The semantics function does not function as a ""one to one"" with its ""math formula counterpart, since you need to compute some values prior to assigning an output variable (in the case you have an output variable). As a result, knowing what to calculate and access before the final assignment is made can be a slight drag."
3/10/2026 14:28:47,21,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,It was very easy to define teh variables and use them in formula and render,Somewhat easy,Somewhat difficult,Very easy,Somewhat difficult,Somewhat difficult,Somewhat difficult,Neither easy nor difficult,Very easy,Neither easy nor difficult,"It was Important to pay attention to the way the formula was accessing special variables like lambda, other pieces were relatively straightforward."
3/11/2026 11:32:53,29,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Somewhat intuitive,"It is a bit hard to get the interactive formula working EXACTLY the way I want it, like with the placement of tags (for example when I had two t's in the formula, it automatically put the label on the first tag and i don't think there was a way to change that, or for example choosing between the labels being at the top or at the bottom, or what if wanted them somewhere else like on the side?)",Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Somewhat easy,Same explanation
3/11/2026 15:01:28,57,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Somewhat intuitive,Very intuitive,I think the range and step size + sig figs parameters needed some thinking - but other than that pretty straightforward. ,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,NA
3/15/2026 12:07:16,80,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Somewhat intuitive,"For time, only one of them was labeled i.e. N(t), not the t in the right hand side of the formula",Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,"Most of the API was very intuitive and easy to follow, and very similar to the tutorial."
3/16/2026 13:03:45,45,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Somewhat intuitive,Creating interactive formulae is very intutive with a config setup. Having variables defined in the same place makes editing simple and gives you visibility of everything you have created in one place. Adding multiple formulae is more tricky though!,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Somewhat easy,"Again, having all the variable definitions in one place makes setting all these labels, ranges etc. very simple. "
3/17/2026 17:03:39,19,Very intuitive,Very intuitive,Very intuitive,Neither intuitive nor unintuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Somewhat intuitive,"For the 4th one, I don't think the definition of significant figures used in the library correlates to what the normal conception (or at least my conception) of significant figures. For instance, sigFigs = 3 of 0.000121 should be 0 (0.000), not 0.000121, because the normal convention is 3 significant digits after 0.",Very easy,Very easy,Somewhat easy,Very easy,Very easy,Very easy,Very easy,Very easy,Somewhat easy,Thinking of a brief and readable label could be hard but it is less relevant to the library.
3/18/2026 15:25:24,17,Very intuitive,Somewhat intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,I think it's a little confusing how if a variable is defined using complex LaTeX then you have to wrap it in brackets and quotations but it's not super impairing or limiting,Very easy,Very easy,Very easy,Somewhat easy,Very easy,Somewhat easy,Very easy,Somewhat easy,Somewhat easy,"I don't really have many complaints about the library, I think it was fairly easy to set up and make the formula interactive"
3/19/2026 7:57:13,48,Very intuitive,Somewhat intuitive,Very intuitive,Somewhat intuitive,Very intuitive,Neither intuitive nor unintuitive,Neither intuitive nor unintuitive,Somewhat intuitive,Neither intuitive nor unintuitive,"Expressing the computation with a semantics function was not the most intutive if i was trying to calcularte a varible in the function, rather than the left hand side variable",Very easy,Somewhat easy,Very easy,Very easy,Very easy,Somewhat easy,Somewhat easy,Somewhat easy,Neither easy nor difficult,Accessing a variable's value in a semantics function difficult if wasn't simple variable or variable with subscript and ndeeded to use bracket notation
