Timestamp,What is your participant ID?,How intuitive was it to do the following things when creating a formula walkthrough? [Knowing where to place a step in the formula semantics],How intuitive was it to do the following things when creating a formula walkthrough? [Adding a description (plain text)],How intuitive was it to do the following things when creating a formula walkthrough? [Adding a description (text and value)],How intuitive was it to do the following things when creating a formula walkthrough? [Adding a description (value only)],How intuitive was it to do the following things when creating a formula walkthrough? [Labeling a variable (plain text)],How intuitive was it to do the following things when creating a formula walkthrough? [Labeling a variable (text and value)],How intuitive was it to do the following things when creating a formula walkthrough? [Labeling a variable (value only)],How intuitive was it to do the following things when creating a formula walkthrough? [Labeling an expression (plain text)],How intuitive was it to do the following things when creating a formula walkthrough? [Labeling an expression (text and value)],How intuitive was it to do the following things when creating a formula walkthrough? [Labeling an expression (value only)],How intuitive was it to do the following things when creating a formula walkthrough? [Getting the formula walkthrough working the way I wanted],Briefly explain any of your ratings above that you think are worth noting (1–2 sentences).,How difficult was it to do the following things when creating a formula walkthrough? [Knowing where to place a step in the formula semantics],How difficult was it to do the following things when creating a formula walkthrough? [Adding a description (plain text)],How difficult was it to do the following things when creating a formula walkthrough? [Adding a description (text and value)],How difficult was it to do the following things when creating a formula walkthrough? [Adding a description (value only)],How difficult was it to do the following things when creating a formula walkthrough? [Labeling a variable (plain text)],How difficult was it to do the following things when creating a formula walkthrough? [Labeling a variable (text and value)],How difficult was it to do the following things when creating a formula walkthrough? [Labeling a variable (value only)],How difficult was it to do the following things when creating a formula walkthrough? [Labeling an expression (plain text)],How difficult was it to do the following things when creating a formula walkthrough? [Labeling an expression (text and value)],How difficult was it to do the following things when creating a formula walkthrough? [Labeling an expression (value only)],How difficult was it to do the following things when creating a formula walkthrough? [Getting the formula walkthrough working the way I wanted],Briefly explain any of your ratings above that you think are worth noting (1–2 sentences).
3/9/2026 16:59:15,14,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Neither intuitive nor unintuitive,Neither intuitive nor unintuitive,Somewhat intuitive,Very intuitive,Very intuitive,Very intuitive,Neither intuitive nor unintuitive,Just a bit cumbersome but I cannot think of a better way to do it anyhow,Neither easy nor difficult,Very easy,Very easy,Very easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Neither easy nor difficult,"Need some getting used to before it's second nature, but overall pretty intuitive nonetheless"
3/9/2026 19:01:50,11,Somewhat unintuitive,Neither intuitive nor unintuitive,Neither intuitive nor unintuitive,Neither intuitive nor unintuitive,Neither intuitive nor unintuitive,Neither intuitive nor unintuitive,Neither intuitive nor unintuitive,Somewhat unintuitive,Somewhat unintuitive,Neither intuitive nor unintuitive,Neither intuitive nor unintuitive,"My ratings here are lower than prior task's because one, it was generally harder to ""grasp"" everything quickly. Two, I thought the labeling was not very straightforward, especially as it pertained to complex expressions. Finally, one other point: I don't think the documentation helped me a lot with ""big picture"" idea for for loops and making labels and steps dynamic. For instance, after reading the documentation, I don't know how to merge user provided input with steps.",Somewhat easy,Somewhat easy,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Somewhat difficult,Somewhat difficult,Somewhat difficult,Neither easy nor difficult,"Expressions were especially tough to ""get"" as far as labels and dynamic input goes. The way I look at if I ""get it"" is if I remember or recall with ease the way of implementation, which for quite a few subtopics for Task 2, I don't. Hope this helps!"
3/10/2026 15:20:21,21,Somewhat intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Somewhat intuitive,Somewhat intuitive,Somewhat intuitive,"Getting the formula needed me to think carefully about assignment, labelling was straight forward",Neither easy nor difficult,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Somewhat easy,Neither easy nor difficult,Very easy,Somewhat easy,"The labels were straightforward like others, but the creation of  step inside the for loop needed me to pick values according to index and make sure it is rendered correctly"
3/11/2026 12:28:04,29,Somewhat intuitive,Neither intuitive nor unintuitive,Somewhat unintuitive,Somewhat unintuitive,Neither intuitive nor unintuitive,Neither intuitive nor unintuitive,Neither intuitive nor unintuitive,Neither intuitive nor unintuitive,Neither intuitive nor unintuitive,Neither intuitive nor unintuitive,Very unintuitive,"Getting the formula walkthrough working the way I wanted: This was the least intuitive because what I was originally thinking was to replace the values into the formula itself rather than adding labels, and it took me a while to understand I should just be writing labels.",Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,It was unintuitive but technically it was easy once I understood it.
3/11/2026 15:53:50,57,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,All of the steps were fine. ,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,"It was also easy to implement -> once the template of the formula was setup, writing the steps was fast."
3/15/2026 12:44:50,80,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Neither intuitive nor unintuitive,"For me, the implementation of the steps was a bit unintuitive, and it required having a lot of the exact values correct and in place.",Very easy,Very easy,Very easy,Very easy,Very easy,Somewhat difficult,Somewhat difficult,Very easy,Very easy,Very easy,Somewhat difficult,"For the expected value formula you needed an array of values, which was difficult to edit because you couldn't edit each individual value. It was very hard to increase the number of values or individually edit them or the probabilities, and labeling was a bit tricky because I wanted to display both the current probability and the whole array, which I couldn't do. "
3/16/2026 13:59:29,45,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Neither intuitive nor unintuitive,"Creating steps and adding descriptions/labels is very simple, though some elements of the library are not quite yet covered yet (e.g. allowing subsets of arrays to be draggable).",Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Somewhat easy,Adding steps follows the same config syntax style which makes it easy to understand how to add them.
3/17/2026 17:42:46,19,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Somewhat intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,Very intuitive,"For Labeling a variable (text and value), I did not intially think it was possible from my reading of the tutorial, but after trying it out, it does work.",Somewhat easy,Very easy,Somewhat easy,Very easy,Very easy,Somewhat easy,Very easy,Very easy,Very easy,Very easy,Somewhat easy,"Initially I was a bit stuck on how to represent different steps of a summation, and I was pointed towards the ability to define arrays in variables and was able to figure it out."
3/18/2026 16:17:21,17,Very intuitive,Very intuitive,Did not do,Did not do,Very intuitive,Did not do,Very intuitive,Did not do,Did not do,Did not do,Somewhat intuitive,I think it's pretty intuitive but the semantics get's really cluttered and a little confusing when you want to represent different things,Somewhat easy,Very easy,Did not do,Did not do,Very easy,Did not do,Very easy,Did not do,Did not do,Did not do,Somewhat easy,I think I was confused at some points on whether I should put something as a description or as a label
3/19/2026 8:42:40,48,Somewhat intuitive,Very intuitive,Very intuitive,Somewhat intuitive,Neither intuitive nor unintuitive,Neither intuitive nor unintuitive,Neither intuitive nor unintuitive,Neither intuitive nor unintuitive,Neither intuitive nor unintuitive,Neither intuitive nor unintuitive,Neither intuitive nor unintuitive,sometimes difficult to figure out how to highlight a specfic part,Somewhat easy,Very easy,Very easy,Very easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Neither easy nor difficult,placing steps pretty intiutive because follows how your brain thinks about math expressions
