Session Name,Session Date,Timestamp,Note Text,Tags,Attachments
Participant 48-2 ✅,"3/19/2026, 11:10:52 AM",00:03:24,"Ill start with formula again, the id il give it expected-value, the latex is ... *types out latex line by line. Checks the rendered static latex while she is typing it out in the latex field",Edit formula; Experiment / Iterate,0
Participant 48-2 ✅,"3/19/2026, 11:10:52 AM",00:04:06,Lets work on the variables *gives the variables empty entries,Edit variables; Experiment / Iterate,1
Participant 48-2 ✅,"3/19/2026, 11:10:52 AM",00:04:54,"I want to label some of them at specific places, *changes the variables to use the space characters again to distinguish them",Edit variables; Unexpected usage,1
Participant 48-2 ✅,"3/19/2026, 11:10:52 AM",00:05:00,Was able to arrive at a fully labelled formula (without the values defined) in the first 5 minutes,Naturalness,0
Participant 48-2 ✅,"3/19/2026, 11:10:52 AM",00:07:01,Looks through the tutorial and finds that the default can be an array and decides to define the X to have an array,Experiment / Iterate,1
Participant 48-2 ✅,"3/19/2026, 11:10:52 AM",00:07:22,Sees the example in the tutorial - i should use this format to calculate over the array,Edit steps; Edit semantics; Naturalness,1
Participant 48-2 ✅,"3/19/2026, 11:10:52 AM",00:08:19,Declared P(x) as a array variable as well,Naturalness; Edit variables,1
Participant 48-2 ✅,"3/19/2026, 11:10:52 AM",00:13:11,"Worked on the labels to highlight them with specific values, also used string concatenations",Edit semantics; Naturalness; Edit steps,1
Participant 48-2 ✅,"3/19/2026, 11:10:52 AM",00:15:12,Wait to be able to drag and change the array value in array variables but theres no way to do it,Friction; Edit variables; Design Patterns,0
Participant 48-2 ✅,"3/19/2026, 11:10:52 AM",00:16:37,This is what it looks like.She wants to add another label for E such that it will show the sum,Design Patterns,1
Participant 48-2 ✅,"3/19/2026, 11:10:52 AM",00:17:36,Defines 2 entries for E. Which is not allowed,Error; Friction; Edit steps,1
Participant 48-2 ✅,"3/19/2026, 11:10:52 AM",00:18:53,The final product,Design Patterns,1
Participant 48-2 ✅,"3/19/2026, 11:10:52 AM",00:19:43,"""If I was solving this equation how I would think about it."" ""Like multiplying it and then adding it is multiple steps maybe for beginner but for me I would like to see it as one step""",Design Patterns,0
Participant 48-2 ✅,"3/19/2026, 11:10:52 AM",00:22:22,"Since theres 10 minutes left, asked her to try to iterate and have multiple steps",,0
Participant 48-2 ✅,"3/19/2026, 11:10:52 AM",00:22:43,"One thing I would do to ""E"" is to have this value displayed",,0
Participant 48-2 ✅,"3/19/2026, 11:10:52 AM",00:23:59,The new step,Experiment / Iterate; Edit steps,1
Participant 48-2 ✅,"3/19/2026, 11:10:52 AM",00:27:49,"""I kind of wish the set of all possible outcomes, since it depends on the color, that it can display the color red black and green."" ""I would wish to see both""",Design Patterns; Friction,0
Participant 48-1 ✅,"3/19/2026, 10:26:19 AM",00:01:56,"""First I want to define the formula and define the id and the latex""",Edit formula; Experiment / Iterate,0
Participant 48-1 ✅,"3/19/2026, 10:26:19 AM",00:03:25,"Checks the rendering after she added the formula, but since the id was radioactive-decay instead of decay being in the formula component so it did not initially show anything, adjusted and fixed it successfully right afterwards",Experiment / Iterate; Edit formula,0
Participant 48-1 ✅,"3/19/2026, 10:26:19 AM",00:03:31,Adding in the plain variables first before any settings,Experiment / Iterate; Edit variables,0
Participant 48-1 ✅,"3/19/2026, 10:26:19 AM",00:04:38,"""So ill then add a description for each""",Experiment / Iterate; Edit variables,2
Participant 48-1 ✅,"3/19/2026, 10:26:19 AM",00:06:05,"""Okay let me make these smaller"" *after noticing the labels are too long",Experiment / Iterate; Edit variables,0
Participant 48-1 ✅,"3/19/2026, 10:26:19 AM",00:07:32,Immediately successfully uses vars call with a complex variable name,Naturalness; Edit variables,1
Participant 48-1 ✅,"3/19/2026, 10:26:19 AM",00:11:15,Set the N_0 as the same amount as N(t) assuming zero time passes. (*Does not know that the semantics will already override the variables in this case.,Edit variables; Unexpected usage,1
Participant 48-1 ✅,"3/19/2026, 10:26:19 AM",00:11:59,"One thing I noticed is that the t is in N(t) instead of on the right, I want to change that",Friction; Edit variables; Design Patterns,0
Participant 48-1 ✅,"3/19/2026, 10:26:19 AM",00:12:47,Uses a space to identify the specific t to isolate it such that it is now rendered on the right.,Unexpected usage; Edit variables; Design Patterns,1
Participant 48-1 ✅,"3/19/2026, 10:26:19 AM",00:13:55,Also highlighted the expression.,Edit steps; Naturalness; Design Patterns,1
Participant 48-1 ✅,"3/19/2026, 10:26:19 AM",00:13:55,Successfully uses sigfig settings to make this variable appear,Edit variables; Naturalness,1
Participant 48-1 ✅,"3/19/2026, 10:26:19 AM",00:14:35,Wanted to be able to drag and change the array variables inside the formula but there's no current ways to do it,Friction; Design Patterns,0
Participant 48-1 ✅,"3/19/2026, 10:26:19 AM",00:17:28,Want to calculate the time passed adjust the semantics since she specifically want to showcase the half life. Knew that she can just change the semantics only without needing to adjust most of the variables,Design Patterns; Naturalness; Edit semantics,1
Participant 48-1 ✅,"3/19/2026, 10:26:19 AM",00:19:10,Adjusted semantics,Naturalness; Design Patterns; Edit semantics,1
Participant 48-1 ✅,"3/19/2026, 10:26:19 AM",00:21:22,"The t was not working so she adjusted it after taking a bit.  ""I think I was just looking at the variables to make I sure I defined them properly""",Edit semantics; Friction; Experiment / Iterate,1
Participant 48-1 ✅,"3/19/2026, 10:26:19 AM",00:22:14,The resulting visualization shows the half life by changing the N_0 and the N(t) which calculates the t,Design Patterns; Unexpected usage; Naturalness,1
Participant 48-1 ✅,"3/19/2026, 10:26:19 AM",00:24:07,"On how she made a decision around the scenarios - ""Some of the questions relate to how much time is passed"" - so she examined that time is an important variable that people wonder about",Design Patterns; Edit variables,0
Participant 48-1 ✅,"3/19/2026, 10:26:19 AM",00:25:47,"On the "" t"" variable. I was looking at what is the difference between the t in N(t), and the t next to the \\lambda in the latex",Naturalness; Unexpected usage; Edit variables; Experiment / Iterate,0
Participant 48-1 ✅,"3/19/2026, 10:26:19 AM",00:27:29,"""if you have a list common decay constants such as carbon 14 where you can just click on one and it changes the decay constant to that specific item""",Design Patterns; Friction; Experiment / Iterate,0
Participant 17-2 ✅,"3/18/2026, 6:30:00 PM",00:01:55,Fix missing slashes in the formula,Friction; Experiment / Iterate,1
Participant 17-2 ✅,"3/18/2026, 6:30:00 PM",00:04:48,I think maybe like I dont think it makes sense to have one step for each element in the outcomes unless the goal is to teach someone what a summation is,Design Patterns,0
Participant 17-2 ✅,"3/18/2026, 6:30:00 PM",00:05:56,Maybe just step by step?,Design Patterns,0
Participant 17-2 ✅,"3/18/2026, 6:30:00 PM",00:06:14,I am confused about what is the goal here what is the formula trying to show,Naturalness; Friction,0
Participant 17-2 ✅,"3/18/2026, 6:30:00 PM",00:08:35,"""Let me steal this for now""*Uses the example code",Edit variables; Experiment / Iterate,1
Participant 17-2 ✅,"3/18/2026, 6:30:00 PM",00:10:58,Defined the array variables,Edit variables,1
Participant 17-2 ✅,"3/18/2026, 6:30:00 PM",00:12:43,"Starts without semantics written, wrote the step first",Edit steps; Edit semantics; Experiment / Iterate,1
Participant 17-2 ✅,"3/18/2026, 6:30:00 PM",00:14:58,"I dont know if you can do this, but I think I would be useful to have the values split up like this. I wonder if it is possible to unwrap the equations and show the design",Design Patterns,1
Participant 17-2 ✅,"3/18/2026, 6:30:00 PM",00:18:54,Adding plain steps,Experiment / Iterate; Unexpected usage; Edit steps,1
Participant 17-2 ✅,"3/18/2026, 6:30:00 PM",00:20:35,Using plain numbers,Unexpected usage; Edit semantics,1
Participant 17-2 ✅,"3/18/2026, 6:30:00 PM",00:23:17,Tries to highlight expression,Design Patterns; Edit steps,1
Participant 17-2 ✅,"3/18/2026, 6:30:00 PM",00:25:39,Add in another plain step,Design Patterns; Edit steps,1
Participant 17-2 ✅,"3/18/2026, 6:30:00 PM",00:29:43,Final,Design Patterns; Edit steps,1
Participant 17-2 ✅,"3/18/2026, 6:30:00 PM",00:30:44,It's not super pretty but,Friction,0
Participant 17-2 ✅,"3/18/2026, 6:30:00 PM",00:30:44,"""I thought the steps that I wanted to do were different in the sense that the formula could not change instead of summing""",Friction; Design Patterns,0
Participant 17-2 ✅,"3/18/2026, 6:30:00 PM",00:30:44,"""Looking back it was kind of confusing what I did""",Friction,0
Participant 17-2 ✅,"3/18/2026, 6:30:00 PM",00:30:44,"""it would be cool if with the step you could also change the formula so it's like you have this example and this is how you calculate the sum and you can actually plug in the values and the whole formula changes too""",Design Patterns; Experiment / Iterate,0
Participant 17-2 ✅,"3/18/2026, 6:30:00 PM",00:30:44,"""I think the library was very intuitive, and it is adoptible, especially when you have an example side by side""",Naturalness,0
Participant 17-1 ✅,"3/18/2026, 5:30:00 PM",00:02:13,"""First thing I want to do is to get the formula to show up here. Seeing something will help""",Naturalness; Experiment / Iterate; Edit formula,0
Participant 17-1 ✅,"3/18/2026, 5:30:00 PM",00:03:34,"Paste in and replaces the formula with the latex, sees the formula, says ""cool nice""",Naturalness; Edit formula,1
Participant 17-1 ✅,"3/18/2026, 5:30:00 PM",00:05:47,"I think all three of these are going to be variables.""Why?"" because I can change them",Edit variables; Experiment / Iterate,1
Participant 17-1 ✅,"3/18/2026, 5:30:00 PM",00:07:36,Writes out the variable declaration first and then populate them with the names,Experiment / Iterate; Edit variables,1
Participant 17-1 ✅,"3/18/2026, 5:30:00 PM",00:09:19,Decided to use avogadros number because it is more realistic than 100,Design Patterns; Edit variables,1
Participant 17-1 ✅,"3/18/2026, 5:30:00 PM",00:12:25,Able to set up the values,Naturalness,1
Participant 17-1 ✅,"3/18/2026, 5:30:00 PM",00:13:38,"""I dont really like how this is looking so far. I don't like how this t is on this side. I like how both t can be dragged. Actually maybe I do like this. I wish the label was placed differently. Maybe I should be able to label both? Then maybe it will be a bit cluttered. I think it makes sense although to do the first since it takes less space.""",Design Patterns; Edit variables; Friction,0
Participant 17-1 ✅,"3/18/2026, 5:30:00 PM",00:18:39,Starts working on the semantics (looks at the rendered static formula in the tutorial first),Edit semantics,0
Participant 17-1 ✅,"3/18/2026, 5:30:00 PM",00:19:29,Successfully writes the variable reference,Naturalness; Edit semantics,1
Participant 17-1 ✅,"3/18/2026, 5:30:00 PM",00:23:30,Unable to see the drag working because his number is too large and when he drags the  number is not signigicant enough to show the change,Friction; Experiment / Iterate; Edit variables,1
Participant 17-1 ✅,"3/18/2026, 5:30:00 PM",00:24:36,Simplifies the numbers to make it more reactive,Experiment / Iterate; Friction; Edit variables,1
Participant 17-1 ✅,"3/18/2026, 5:30:00 PM",00:25:35,Improved the steps to the 22nd 10 power and then the drag is good,Experiment / Iterate; Edit variables,0
Participant 17-1 ✅,"3/18/2026, 5:30:00 PM",00:25:49,,,1
Participant 19-2 ✅,"3/17/2026, 8:05:33 PM",00:00:00,"""For UX purposes the edge connecting an expression with the label could be more prominent""",Friction,0
Participant 19-2 ✅,"3/17/2026, 8:05:33 PM",00:01:44,Pasted in the formula template first and replaced it latex,Edit formula; Experiment / Iterate,0
Participant 19-2 ✅,"3/17/2026, 8:05:33 PM",00:03:09,"""A reason I didn't work on the variable declaration is because I started with the latex so I already have any idea of the variables in my head so I can move directly to the semantics""",Experiment / Iterate; Edit semantics,0
Participant 19-2 ✅,"3/17/2026, 8:05:33 PM",00:04:00,"""Trying to think of a good way to do this with the steps""",Edit steps; Experiment / Iterate,0
Participant 19-2 ✅,"3/17/2026, 8:05:33 PM",00:04:20,"""For this thing it's like a bunch of x's""",,0
Participant 19-2 ✅,"3/17/2026, 8:05:33 PM",00:05:01,"""The only thing is I can break it down to x1 x2 x3""",,0
Participant 19-2 ✅,"3/17/2026, 8:05:33 PM",00:06:13,Was a little bit lost because there seems to be instances of variables,Friction; Edit semantics,0
Participant 19-2 ✅,"3/17/2026, 8:05:33 PM",00:06:42,Pointed her to the tutorial material around array-valued variables,,0
Participant 19-2 ✅,"3/17/2026, 8:05:33 PM",00:08:32,Made use of the example code for the for loops and arrays,Experiment / Iterate; Edit semantics,1
Participant 19-2 ✅,"3/17/2026, 8:05:33 PM",00:09:04,started with the string concatenation,Naturalness; Edit steps,1
Participant 19-2 ✅,"3/17/2026, 8:05:33 PM",00:14:12,"Created two P(x)? ""One is going to be shown, and the over is simply all the probability values""",Design Patterns; Unexpected usage; Edit variables,1
Participant 19-2 ✅,"3/17/2026, 8:05:33 PM",00:15:00,First checked out the rendering after defining the variables,Experiment / Iterate,1
