Timestamp,What is your participant ID? (ask facilitator),What is your occupation? (Select all that apply),How many years of experience do you have writing documents with TeX or LaTeX?,How often do you write formulas using TeX/LaTeX?,I feel comfortable using TeX or LaTeX to write mathematical formulae.,How many years of experience do you have programming with JavaScript/TypeScript?,How often do you write JavaScript/TypeScript code?,I feel comfortable writing JavaScript/TypeScript code.,Please describe your level of experience with React.,"Do we have your permission to link the information in this questionnaire will to (anonymized) recordings, questionnaire responses, and interaction data from your usability study session?"
2/23/26 11:39,21,"Graduate student, Software developer",3-5 years,Less than monthly,3,More than 5 years,Weekly,5,Have written substantial amounts of React in a professional context,Yes
2/25/26 18:09,57,"Undergraduate student, Graduate student",3-5 years,Weekly,4,1-2 year,Weekly,1,Have written small amounts of React in personal or academic projects,Maybe? Lmk what you need.
2/26/26 7:11,48,"Undergraduate student, Software developer",1-2 year,Weekly,4,1-2 year,Monthly,3,Have written small amounts of React in personal or academic projects,Yes
2/26/26 8:36,45,Software developer,Less than 1 year,Less than monthly,2,1-2 year,Daily,4,Have written substantial amounts of React in a professional context,Yes
2/26/26 17:05,11,"Graduate student, Software developer",3-5 years,Weekly,3,1-2 year,Monthly,3,Have written substantial amounts of React in personal or academic projects,Yes
2/27/26 7:06,29,"Undergraduate student, Graduate student, Teaching Assistant",3-5 years,Weekly,5,1-2 year,Monthly,2,Have written substantial amounts of React in personal or academic projects,Yes
2/27/26 10:05,17,Undergraduate student,1-2 year,Monthly,5,1-2 year,Less than monthly,2,Have written small amounts of React in personal or academic projects,Yes
2/28/26 10:05,19,"Undergraduate student, Graduate student",1-2 year,Weekly,4,3-5 years,Weekly,4,Have written substantial amounts of React in a professional context,Yes
2/28/26 11:05,14,Graduate student,Less than 1 year,Less than monthly,3,3-5 years,Weekly,5,Have written substantial amounts of React in a professional context,Yes
3/1/26 11:34,80,Undergraduate student,1-2 year,Weekly,5,3-5 years,Weekly,5,Have written substantial amounts of React in a professional context,Yes
