Name,URL,Editable Text,Scrubbable Values,Linked Selection,External Controls,Formula Tags,Details,Open Source
Why Momentum Really Works,https://distill.pub/2017/momentum/,No,No,,Sliders,Static,*,
Why Momentum Really Works,https://distill.pub/2017/momentum/,No,Yes,Bidirectional <->,Sliders,Dynamic,,Yes
Surprising Uses of the Pythagorean Theorem,https://betterexplained.com/articles/surprising-uses-of-the-pythagorean-theorem/,No,No,,Editable Text,Static,,
Byrne's edition of Euclid's Geometry (first five propositions only),https://www.c82.net/euclid/book1/,No,No,Formula -> Graph,,Dynamic,,
Conditional Probability Explained Visually,https://setosa.io/ev/conditional-probability/,No,No,,Sliders,Static,,
Image Kernels,https://setosa.io/ev/image-kernels/,No,No,,"Hovering, Options",Dynamic,,
Example - Sine Waves in Time or Space,https://airladon.github.io/FigureOne/examples/Traveling%20Wave%2002%20-%20Sine%20Waves/,No,No,,Draggable Points,Static,,
Example - Sine Waves in Time or Space,https://airladon.github.io/FigureOne/examples/Traveling%20Wave%2002%20-%20Sine%20Waves/,No,No,Graph -> Formula,Draggable Points,Dynamic,,Yes
A Primer on Bézier Curves,pomax.github.io/bezierinfo,No,No,,Sliders,Static,,
Sphere Eversion,https://rreusser.github.io/explorations/sphere-eversion/,No,No,,Sliders,Static,,
Tessaract,https://ciechanow.ski/tesseract/,No,No,,Sliders,Static,,
Geodesics,https://analyticphysics.com/General%20Relativity/Visualizing%20Geodesics%20on%20Surfaces.htm,No,No,,Sliders,Static,,
Geometric Interpretation,https://complex-analysis.com/content/geometric_interpretation_add_mult.html,No,No,Graph -> Formula,"Draggable Points, Options, Sliders",Static,,
Geometric Interpretation,https://complex-analysis.com/content/geometric_interpretation_add_mult.html,No,No,Graph -> Formula,"Draggable Points, Options, Sliders",Static,,
Geometric Interpretation,https://complex-analysis.com/content/principal_argument.html,No,No,Graph -> Graph,"Draggable Points, Options, Sliders",Static,,
Geometric Interpretation,https://complex-analysis.com/content/roots_complex_numbers.html,No,No,Graph -> Formula,"Draggable Points, Options, Sliders",Dynamic,,Yes
Geometric Interpretation,https://complex-analysis.com/content/complex_functions.html,No,No,Formula -> Graph,Options,Static,,
